Rank,Team,BT_Rating
247,FL Atlantic,-6.298801091291018
248,SIUE,-6.500237667038759
249,TN Martin,-6.603192590399517
250,IUPUI,-6.735720445044724
251,SE Missouri St,-6.9491983498349885
252,MD E Shore,-7.01975051976631
253,ETSU,-7.049899496506707
254,Texas St,-7.114566606381433
255,Furman,-7.414048981884602
256,Mercer,-7.522363632143337
257,Utah Tech,-7.618520998127741
258,Pittsburgh,-7.760571118901573
259,NC A&T,-7.768733300737218
260,Northern Arizona,-7.861070621330964
261,Weber St,-8.335344473595057
262,Loyola MD,-8.583266138545046
263,Lipscomb,-8.669646896657158
264,Wichita St,-8.705895482580916
265,Oakland,-8.835329302852614
266,San Diego,-8.940964326171695
267,UNC Greensboro,-9.023881285006436
268,Siena,-9.150866439553846
269,W Michigan,-9.228631031218429
270,Montana,-9.38645555237055
271,New Hampshire,-9.494085887694622
272,Evansville,-9.681436776169782
273,LIU Brooklyn,-9.753139713955273
274,WKU,-9.868152041244622
275,Yale,-9.875393294868523
276,Nicholls St,-10.051429867724943
277,Boston Univ,-10.106530004460948
278,Missouri KC,-10.110813072399402
279,Hofstra,-10.14449856169834
280,Mt St Mary's,-10.222258620499524
281,Incarnate Word,-10.387536065295675
282,Denver,-10.405311057008497
283,Utah St,-10.447804710138286
284,S Illinois,-10.462492144041638
285,Lafayette,-10.481130419793402
286,Iona,-10.571282448484906
287,UTEP,-10.57614679577756
288,CS Bakersfield,-10.84139575189825
289,Samford,-10.893557892468989
290,CS Northridge,-10.902749528085003
291,Bucknell,-10.9432503912871
292,Northeastern,-11.064774639428627
293,Akron,-11.258592286210268
294,East Texas A&M,-11.267914582294331
295,Coppin St,-11.40151571859408
296,North Florida,-11.441146922426878
297,Manhattan,-11.48898325801858
298,Wright St,-11.584583219986234
299,Cornell,-11.929632677282962
300,New Mexico St,-11.937695307847449
301,Sacred Heart,-12.116990462063466
302,Marist,-12.224926326989022
303,Hampton,-12.48481691996646
304,Portland St,-12.781053317617474
305,Detroit,-12.832947488154296
306,Alcorn St,-12.948626544233418
307,N Illinois,-12.98053159036166
308,Winthrop,-13.05096808460661
309,WI Milwaukee,-13.207177828746318
310,Indiana St,-13.597372900995714
311,Buffalo,-13.759642736040371
312,Jackson St,-13.923850862451012
313,Alabama St,-13.993734594125032
314,Grambling,-14.015511820363738
315,Houston Chr,-14.021482096123432
316,Dartmouth,-14.41990765134606
317,Colgate,-14.604834949328778
318,E Illinois,-14.90659509672023
319,San Jose St,-15.22111209602638
320,NC Central,-15.455211622203985
321,American Univ,-15.55338329064056
322,UNC Wilmington,-15.99099747510344
323,Gardner Webb,-16.22299628078665
324,UNC Asheville,-16.247807617810306
325,Louisiana,-16.566355408050317
326,Long Beach St,-16.827684838643183
327,Charleston So,-16.88360033559398
328,Wagner,-16.89039066031135
329,Rider,-17.108373118883183
330,North Dakota,-17.25913789777905
331,Tennessee St,-17.263618603149922
332,Mercyhurst,-17.437221769937587
333,Queens NC,-17.672223353476635
334,Canisius,-18.25006392343005
335,Stonehill,-18.335647092523903
336,Ark Pine Bluff,-18.388565627526084
337,SC Upstate,-18.480368821678788
338,Delaware St,-18.78216056353452
339,TAM C. Christi,-18.821884562820653
340,Seattle,-18.93799668015357
341,Cal Poly,-18.94116574916719
342,St Peter's,-18.998522363675825
343,New Haven,-19.08615452813789
344,SE Louisiana,-19.342929626632596
345,MA Lowell,-19.446244583695798
346,Florida A&M,-20.00641784382827
347,W Carolina,-20.06432787378492
348,Chicago St,-20.132120011668903
349,TX Southern,-20.297891147463567
350,Morgan St,-20.397442169463968
351,Bethune-Cookman,-20.404532633713757
352,New Orleans,-22.634444367921944
353,Le Moyne,-22.65715298844032
354,NE Omaha,-23.53509015247789
355,St Francis PA,-24.89885776029807
356,Valparaiso,-27.05801245832258
357,MS Valley St,-27.37824722886337
358,S Carolina St,-27.905097233335024
359,Prairie View,-28.048255727838345
360,Central Conn,-28.74223191281018
361,Niagara,-29.41548867961976
362,Presbyterian,-30.777592706767376
363,Bellarmine,-32.02830880935826
