Rank,Team,Elo_Rating
117,Howard,1545.3819280744676
118,Florida St,1545.3796148501654
119,Samford,1545.1610614492654
120,William & Mary,1543.3350620867866
121,Lipscomb,1541.8061171788
122,Indiana,1540.4717546179274
123,Marshall,1540.282582602021
124,Marist,1540.2606305760603
125,Seattle,1539.9949429435385
126,Portland St,1539.958092296863
127,TN Martin,1539.5901824712112
128,Davidson,1539.4170110031955
129,Monmouth NJ,1539.3778521676245
130,Quinnipiac,1537.8364007424882
131,Queens NC,1537.0523899858422
132,IL Chicago,1534.3291264982747
133,James Madison,1534.2518874566215
134,Central Conn,1533.89875874062
135,Kennesaw,1532.8802514001115
136,DePaul,1532.5416076048705
137,USC,1531.7193650813454
138,West Virginia,1531.3607304079935
139,Valparaiso,1531.0919462915513
140,Mercer,1531.026798796316
141,Detroit,1530.8853444218234
142,Northern Iowa,1530.8661032542304
143,SIUE,1528.824484745227
144,S Illinois,1528.795823876655
145,UC Santa Barbara,1528.344552421877
146,Cornell,1528.0859310723135
147,Toledo,1527.8482428833802
148,WI Green Bay,1526.5110691828663
149,Tulane,1526.3434091286913
150,New Orleans,1524.921372434511
151,Stony Brook,1522.5023109827512
152,E Washington,1520.5239268464836
153,Iona,1519.4326606794834
154,Drexel,1518.268215052325
155,Montana St,1518.2279312622295
156,Arizona St,1518.086369070904
157,Mt St Mary's,1516.6599584588137
158,UNLV,1515.289592757987
159,UC Davis,1515.065540341545
160,Wofford,1514.6650967873072
161,Oregon St,1513.902729918604
162,Furman,1513.7599902327288
163,North Texas,1513.589588956839
164,Duquesne,1513.1570693994524
165,Towson,1512.921750289169
166,Colorado,1512.8018759941504
167,Southern Miss,1511.9759863115628
168,CS Fullerton,1511.526959078368
169,Providence,1511.227434091738
170,Oklahoma St,1510.2579904405586
171,Oklahoma,1509.1147816016396
172,FL Atlantic,1507.8356162450036
173,Fordham,1506.5272478799684
174,PFW,1505.5212636242156
175,G Washington,1505.0854137105218
176,Baylor,1504.063283753845
177,Oakland,1502.034739233084
178,Weber St,1501.6199487925594
179,Wyoming,1500.9196931442034
180,W Carolina,1500.1180657152036
181,Wake Forest,1499.8653324316856
182,San Francisco,1497.4181940856286
183,TAM C. Christi,1497.072601120073
184,Columbia,1497.0663699650763
185,Syracuse,1497.0247910541657
186,Auburn,1496.9565560305289
187,Minnesota,1496.642856065071
188,Ohio,1495.9838956096446
189,Pacific,1493.7090087691029
190,Colgate,1492.6161019498163
191,Butler,1492.0797552001848
192,Lehigh,1491.862945218641
193,N Kentucky,1491.6393806002195
194,Northwestern,1491.114724207859
195,UT Arlington,1490.7666512735052
196,Charlotte,1489.7542508976362
197,Bowling Green,1486.268273180753
198,Washington,1485.900164640365
199,Boston Univ,1484.355597652342
200,Montana,1483.8792808426467
201,Lindenwood,1482.9613465406023
202,North Dakota,1481.1024079188055
203,Buffalo,1481.0965414446175
204,Rhode Island,1480.863411827321
205,Louisiana Tech,1480.5957589012453
206,Cal Poly,1479.7038425385376
207,NJIT,1478.7747999336536
208,Denver,1477.7589536881162
209,Norfolk St,1477.7316976273798
210,Ga Southern,1477.3207173464498
211,Xavier,1474.7923657924855
212,Idaho,1474.6992782370762
213,MTSU,1474.1734451159705
214,Alabama A&M,1473.2991215730328
215,Nicholls St,1472.2202930661017
216,Creighton,1471.6157234915945
217,Radford,1471.2068820029426
218,Mercyhurst,1471.123827513081
219,LSU,1470.6942918993643
220,Florida A&M,1469.9573732726303
221,Longwood,1469.5382016009266
222,NE Omaha,1468.320168520352
223,Florida Intl,1466.9533413034512
224,Sacred Heart,1466.88439157052
225,Mississippi St,1465.617364935344
226,St Bonaventure,1465.5417421605569
227,Campbell,1465.4702575945485
228,South Dakota,1464.407158885395
229,Le Moyne,1462.5974999451264
230,Notre Dame,1461.1901984742722
231,TX Southern,1459.068142454983
232,Richmond,1458.6776014913462
233,Massachusetts,1457.2351067476518
234,Wagner,1456.6027478965475
235,Youngstown St,1453.9466241847392
236,Charleston So,1452.5375545461957
237,Rutgers,1452.1588020348102
238,Temple,1450.71511704074
239,American Univ,1450.5665048234052
240,Elon,1450.2078108527885
241,Memphis,1449.7554182639774
242,Jacksonville St,1449.6291584535145
243,Abilene Chr,1449.2631967316595
244,Morgan St,1448.9961205641644
245,Loy Marymount,1448.6999751350493
246,UNC Greensboro,1448.676549782204
247,UNC Asheville,1448.2542941693089
248,Mississippi,1446.436638118823
249,Georgetown,1446.4210167970268
250,Hampton,1443.97900900351
251,Pittsburgh,1443.5606792334308
252,Tarleton St,1442.1415313088637
253,Southern Univ,1441.9153267739168
254,West Georgia,1440.1853651468343
255,Oregon,1439.9266982990118
256,Rice,1439.155254392135
257,Tennessee Tech,1438.7632127666157
258,Dartmouth,1438.6107571732234
259,Old Dominion,1438.24732583818
260,New Mexico St,1437.4646510893815
261,MA Lowell,1436.7818556784232
262,New Haven,1435.2802781269563
263,Presbyterian,1435.0321107776947
264,FGCU,1434.774789425806
265,Southern Utah,1434.0406167119972
266,S Dakota St,1432.5806542450596
267,Washington St,1432.432202530549
268,Penn St,1432.4124025688022
269,Maryland,1432.3189141572166
270,Fresno St,1429.8109078980674
271,East Carolina,1429.711562241822
272,Portland,1429.4091042766247
273,Marquette,1428.4330499062328
274,Ark Pine Bluff,1428.137740399506
275,NC A&T,1425.8909939119787
276,South Carolina,1425.0392117338945
277,Alabama St,1422.7825513154216
278,WI Milwaukee,1422.7111549552626
279,Bellarmine,1422.063449411412
280,Chattanooga,1421.2692912403024
281,Missouri St,1421.0337786229886
282,Ark Little Rock,1420.9760933022264
283,Louisiana,1420.107638368367
284,Prairie View,1418.8115304992052
285,Loyola MD,1417.7481838465155
286,W Michigan,1416.9134805716617
287,C Michigan,1416.586732352877
288,Jacksonville,1415.7492823740845
289,Kansas St,1414.8825084749342
290,SC Upstate,1413.9846562855907
291,Houston Chr,1413.4610928961442
292,Lafayette,1413.3197736296677
293,Ball St,1413.065265395816
294,Manhattan,1411.59975384238
295,NC Central,1410.1925139468228
296,Boston College,1410.0547244443912
297,Jackson St,1406.4599763663855
298,Utah,1405.494401564514
299,E Illinois,1403.4311622757482
300,Brown,1403.27886448834
301,UTEP,1402.5423871914911
302,E Kentucky,1399.3623018395708
303,Princeton,1398.750943760902
304,SUNY Albany,1398.55673010478
305,Delaware,1398.11396613126
306,Northwestern LA,1397.704202298568
307,Idaho St,1392.758883223731
308,Incarnate Word,1392.7010731035873
309,Georgia Tech,1392.215535622673
310,Stetson,1391.7570942086318
311,E Michigan,1390.5689036343772
312,Drake,1390.529005685205
313,Grambling,1390.0527658931649
314,Indiana St,1389.1153073551025
315,Stonehill,1388.9018034506316
316,F Dickinson,1386.3231701125962
317,La Salle,1385.0216859258214
318,Alcorn St,1384.2813291247635
319,N Illinois,1383.881931115318
320,Lamar,1382.9788924297347
321,UC Riverside,1382.8184244991023
322,Citadel,1382.049908879887
323,San Diego,1379.5913837268922
324,MD E Shore,1376.1265574193949
325,Cleveland St,1375.2193268590704
326,Georgia St,1374.2295431043078
327,East Texas A&M,1372.3281783000805
328,Canisius,1370.5056805877934
329,Maine,1370.1253528468224
330,Pepperdine,1370.094291600745
331,Long Beach St,1368.9959483189352
332,CS Sacramento,1367.3591538282456
333,Northern Arizona,1366.595720924846
334,Army,1360.3446685981576
335,Coppin St,1359.7640500736743
336,North Alabama,1359.1070339257724
337,San Jose St,1358.8989255321026
338,Loyola-Chicago,1358.8348805774294
339,Niagara,1358.6647361593105
340,Bryant,1358.1589244184966
341,Chicago St,1357.788801361963
342,Bucknell,1356.3015373736412
343,Oral Roberts,1352.4354728072112
344,SE Louisiana,1351.8104066881724
345,Holy Cross,1344.1348538148989
346,Evansville,1340.7221612290991
347,S Carolina St,1339.2319499108671
348,Northeastern,1337.65657738813
349,New Hampshire,1336.097476711034
350,Southern Indiana,1332.43160899458
351,North Florida,1331.3490792777695
352,Binghamton,1322.9518494638198
353,St Francis PA,1313.8847041544857
354,IUPUI,1310.4141574635971
355,CS Bakersfield,1309.3175947762056
356,Delaware St,1299.8857434201857
357,Rider,1296.4477196019934
358,UT San Antonio,1290.6792426068264
359,VMI,1267.1910901612666
360,ULM,1265.7275867597766
361,MS Valley St,1260.1876346133351
362,Air Force,1255.63029724546
363,W Illinois,1252.811739211042
364,Gardner Webb,1251.742789099188
365,Missouri KC,1237.1197031707295
